username,email,password,standard,section,image
student1,student1@example.com,password123,1,A,/path/to/image1.jpg
student2,student2@example.com,password123,1,A,/path/to/image2.jpg
student3,student3@example.com,password123,1,B,/path/to/image3.jpg
student4,student4@example.com,password123,2,A,/path/to/image4.jpg
student5,student5@example.com,password123,2,B,/path/to/image5.jpg
student6,student6@example.com,password123,3,A,/path/to/image6.jpg
student7,student7@example.com,password123,3,B,/path/to/image7.jpg
student8,student8@example.com,password123,4,A,/path/to/image8.jpg
student9,student9@example.com,password123,4,B,/path/to/image9.jpg
student10,student10@example.com,password123,5,A,/path/to/image10.jpg
student11,student11@example.com,password123,5,B,/path/to/image11.jpg
student12,student12@example.com,password123,6,A,/path/to/image12.jpg
student13,student13@example.com,password123,6,B,/path/to/image13.jpg
student14,student14@example.com,password123,7,A,/path/to/image14.jpg
student15,student15@example.com,password123,7,B,/path/to/image15.jpg
student16,student16@example.com,password123,8,A,/path/to/image16.jpg
student17,student17@example.com,password123,8,B,/path/to/image17.jpg
student18,student18@example.com,password123,9,A,/path/to/image18.jpg
student19,student19@example.com,password123,9,B,/path/to/image19.jpg
student20,student20@example.com,password123,10,A,/path/to/image20.jpg
student21,student21@example.com,password123,10,B,/path/to/image21.jpg
student22,student22@example.com,password123,11,A,/path/to/image22.jpg
student23,student23@example.com,password123,11,B,/path/to/image23.jpg
student24,student24@example.com,password123,12,A,/path/to/image24.jpg
student25,student25@example.com,password123,12,B,/path/to/image25.jpg
student26,student26@example.com,password123,1,C,/path/to/image26.jpg
student27,student27@example.com,password123,1,C,/path/to/image27.jpg
student28,student28@example.com,password123,2,C,/path/to/image28.jpg
student29,student29@example.com,password123,2,C,/path/to/image29.jpg
student30,student30@example.com,password123,3,C,/path/to/image30.jpg
